un	puternic	englezesc		unputernic	puternicenglezesc	englezesc	None	
	cu	moderate	de	cu	cumoderate	moderatede	None	
legea	pune	pe	etnicism�	legeapune	punepe	peetnicism�	None	
au	pus		in	aupus	pus	in	None	
prea	mult	pe	teorie	preamult	multpe	peteorie	None	
strige	cu		�ro	strigecu	cu	�ro	None	
lor	cu	dure		lorcu	cudure	dure	None	
romana	cu	americanesc		romanacu	cuamericanesc	americanesc	None	
regiunilor�	pune	pe	rolul	regiunilor�pune	punepe	perolul	None	
.	�un	pe	termen	.�un	�unpe	petermen	None	
pune	un	deosebit	pe	puneun	undeosebit	deosebitpe	None	
playerului	pune	pe	capacitatea	playeruluipune	punepe	pecapacitatea	None	
a	pus	pe	pregatirea	apus	puspe	pepregatirea	None	
	cu	clare	de	cu	cuclare	clarede	None	
	cu	condimentate	si	cu	cucondimentate	condimentatesi	None	
.	punem	pe	mentalitatea	.punem	punempe	pementalitatea	None	
	un	pentru	calitatea	un	unpentru	pentrucalitatea	None	
antiterorist	capata	mistice	razboiul	antiteroristcapata	capatamistice	misticerazboiul	None	
antiterorist	capata	mistice	isabella	antiteroristcapata	capatamistice	misticeisabella	None	
antiterorist	capata	mistice	vaticanul	antiteroristcapata	capatamistice	misticevaticanul	None	
a	pus	pe	credinta	apus	puspe	pecredinta	None	
independente	cu	critice	.	independentecu	cucritice	critice.	None	
sa	puna	pe	asigurarea	sapuna	punape	peasigurarea	None	
a	pus	pe	fondurile	apus	puspe	pefondurile	None	
tinara	cu	moldovenesc		tinaracu	cumoldovenesc	moldovenesc	None	
romaneasca	cu	inca		romaneascacu	cuinca	inca	None	
	fara	.	potrivit	fara	fara.	.potrivit	None	
acceptarea	unor	autoritariste	.	acceptareaunor	unorautoritariste	autoritariste.	None	
	cu	moderne	;	cu	cumoderne	moderne;	None	
	punind	asupra	celor	punind	punindasupra	asupracelor	None	
a	pus	pe	transparente	apus	puspe	petransparente	None	
	cu	pe	cresterea	cu	cupe	pecresterea	None	
mai	mult	pe	proiectele	maimult	multpe	peproiectele	None	
cu	un	puternic	moldovenesc	cuun	unputernic	puternicmoldovenesc	None	
mai	mare	pe	obtinerea	maimare	marepe	peobtinerea	None	
pune	un	deosebit	si	puneun	undeosebit	deosebitsi	None	
care	pune	pe	ingrijirea	carepune	punepe	peingrijirea	None	
sa	puna	pe	personalitatea	sapuna	punape	pepersonalitatea	None	
	cu	pe	informatica	cu	cupe	peinformatica	None	
	un	deosebit	vor	un	undeosebit	deosebitvor	None	
.	un	deosebit	este	.un	undeosebit	deosebiteste	None	
penalizarilor	.	pe	vointa	penalizarilor.	.pe	pevointa	None	
comisiei	are	antidemocratice�	.	comisieiare	areantidemocratice�	antidemocratice�.	None	
a	pus	pe	feminitate	apus	puspe	pefeminitate	None	
washingtonul	pune	deosebit	pe	washingtonulpune	punedeosebit	deosebitpe	None	
karate	pun	pe	latura	karatepun	punpe	pelatura	None	
vorbeste	cu	ardelenesc	.	vorbestecu	cuardelenesc	ardelenesc.	None	
	cu	special	pe	cu	cuspecial	specialpe	None	
nu	are	fataliste		nuare	arefataliste	fataliste	None	
	cu	pe	camera	cu	cupe	pecamera	None	
