	ardelenii	ziarului	&	ardelenii	ardeleniiziarului	ziarului&	None	
o	sa	si	poate	osa	sasi	sipoate	None	
cei	trei	inca	ingroziti	ceitrei	treiinca	incaingroziti	None	
tatal	ii	cursurile	de	tatalii	iicursurile	cursurilede	None	
copilarie	.	si	acum	copilarie.	.si	siacum	None	
bogatie			da	bogatie		da	None	
nu	mai	neam		numai	maineam	neam	None	
	sa	si	sa	sa	sasi	sisa	None	
gen		si	da	gen	si	sida	None	
astepti	sa	o	chestie	asteptisa	sao	ochestie	None	
nasol	.		te	nasol.	.	te	None	
96	subiecti	literatura	.	96subiecti	subiectiliteratura	literatura.	None	
de	des	publicatii	cu	dedes	despublicatii	publicatiicu	None	
lui		si	da	lui	si	sida	None	
saturat	sa	numai	despre	saturatsa	sanumai	numaidespre	None	
.	daca	rapoartele		.daca	dacarapoartele	rapoartele	None	
care	nu	ziarele	afla	carenu	nuziarele	ziareleafla	None	
recomandam	sa	cartea		recomandamsa	sacartea	cartea	None	
laquo	;	&	raquo	laquo;	;&	&raquo	None	
.	apoi	presa	.	.apoi	apoipresa	presa.	None	
.	ii	si	ziarele	.ii	iisi	siziarele	None	
ajunge	sa	primul	paragraf	ajungesa	saprimul	primulparagraf	None	
-	ziar	de	la	-ziar	ziarde	dela	None	
nimic	cind	ca	ministrul	nimiccind	cindca	caministrul	None	
-	i	popa		-i	ipopa	popa	None	
locale	.	cu	atentie	locale.	.cu	cuatentie	None	
nici	sa	.	sint	nicisa	sa.	.sint	None	
	ca	platon	pe	ca	caplaton	platonpe	None	
vreau	sa	ceva	mai	vreausa	saceva	cevamai	None	
este	sa	.	din	estesa	sa.	.din	None	
apucat	sa	o	carte	apucatsa	sao	ocarte	None	
ce	mai	vip	-	cemai	maivip	vip-	None	
timp	sa	.	dar	timpsa	sa.	.dar	None	
prefer	sa	ziarele		prefersa	saziarele	ziarele	None	
apuc	sa		prefer	apucsa	sa	prefer	None	
		in	paralel		in	inparalel	None	
	ce	acum	?	ce	ceacum	acum?	None	
firesc		o	carte	firesc	o	ocarte	None	
asa	se	.	aprician	asase	se.	.aprician	None	
	care	tot		care	caretot	tot	None	
ii	mai	pe	clasici	iimai	maipe	peclasici	None	
care	nu	decit		carenu	nudecit	decit	None	
;	le	&	raquo	;le	le&	&raquo	None	
	se	pe	chipul	se	sepe	pechipul	None	
care	le	ma	vor	carele	lema	mavor	None	
online	.	carti	de	online.	.carti	cartide	None	
de	tandrete	carti	de	detandrete	tandretecarti	cartide	None	
cantonamente		carti	de	cantonamente	carti	cartide	None	
si	fotbalistii	foarte	mult	sifotbalistii	fotbalistiifoarte	foartemult	None	
timpului		ziarul	.	timpului	ziarul	ziarul.	None	
dinti			vorbeste	dinti		vorbeste	None	
si	sa	in	braille	sisa	sain	inbraille	None	
rest		.	asculta	rest	.	.asculta	None	
.	armeanu	22	plasata	.armeanu	armeanu22	22plasata	None	
biliard		in	engleza	biliard	in	inengleza	None	
l			pe	l		pe	None	
	si	tot	ce	si	sitot	totce	None	
scrie	si	satisfacator	in	scriesi	sisatisfacator	satisfacatorin	None	
lor	se	din	nou	lorse	sedin	dinnou	None	
fetele	nu	cu	atentie	fetelenu	nucu	cuatentie	None	
simplu		in	loc	simplu	in	inloc	None	
ele	nu	ce	se	elenu	nuce	cese	None	
val		de	-	val	de	de-	None	
aerul	ca	o	nota	aerulca	cao	onota	None	
aflind	ca	platon		aflindca	caplaton	platon	None	
rest		.	as	rest	.	.as	None	
!	nu	nimeni	.	!nu	nunimeni	nimeni.	None	
in	care	aceste	rinduri	incare	careaceste	acesterinduri	None	
si	sa		oarecum	sisa	sa	oarecum	None	
?	daca	declaratia	lui	?daca	dacadeclaratia	declaratialui	None	
i	se	pe	fata	ise	sepe	pefata	None	
nu	.	-	i	nu.	.-	-i	None	
nedespartit		impreuna	poezii	nedespartit	impreuna	impreunapoezii	None	
printre	rinduri	ca		printrerinduri	rindurica	ca	None	
nu	le	nimeni	.	nule	lenimeni	nimeni.	None	
lectii		mult		lectii	mult	mult	None	
dar	poate	si	i	darpoate	poatesi	sii	None	
largi	se	pe	chipurile	largise	sepe	pechipurile	None	
la	care	aceste	rinduri	lacare	careaceste	acesterinduri	None	
poezia		mult	si	poezia	mult	multsi	None	
sau	se	poezii	avind	sause	sepoezii	poeziiavind	None	
.	cine		ialta	.cine	cine	ialta	None	
i	se	o	frica	ise	seo	ofrica	None	
italia	.	in	ultimele	italia.	.in	inultimele	None	
canada		cartea	lui	canada	cartea	cartealui	None	
.	unii	in	mers	.unii	uniiin	inmers	None	
timp	sa		dar	timpsa	sa	dar	None	
care	il	pe	nerasuflate	careil	ilpe	penerasuflate	None	
care	se	si	se	carese	sesi	sise	None	
mea		din	doi	mea	din	dindoi	None	
galatiului		biblia	in	galatiului	biblia	bibliain	None	
sta	si	ziarele	si	stasi	siziarele	ziarelesi	None	
	nu	cu	atentie	nu	nucu	cuatentie	None	
cafeaua	si	ziarele		cafeauasi	siziarele	ziarele	None	
promis	sa	cu	atentie	promissa	sacu	cuatentie	None	
gresite	.	textele	pe	gresite.	.textele	textelepe	None	
placere	.	textele	mele	placere.	.textele	textelemele	None	
vrea	sa	acele	materiale	vreasa	saacele	acelemateriale	None	
satisfactie		orgoliu		satisfactie	orgoliu	orgoliu	None	
apucat	sa	presa	din	apucatsa	sapresa	presadin	None	
care	va	contorul	!	careva	vacontorul	contorul!	None	
		si	da		si	sida	None	
.	se	de	la	.se	sede	dela	None	
.	se	pe	fata	.se	sepe	pefata	None	
i	ii	sint	cei	iii	iisint	sintcei	None	
imaginii	.	si	parca	imaginii.	.si	siparca	None	
fanita	isi	demisia	din	fanitaisi	isidemisia	demisiadin	None	
macar	nu	aceasta	publicatie	macarnu	nuaceasta	aceastapublicatie	None	
asta	?	si	judeca	asta?	?si	sijudeca	None	
2000	daca	numele	fotbalistilor	2000daca	dacanumele	numelefotbalistilor	None	
intimplare	si	un	mesaj	intimplaresi	siun	unmesaj	None	
		-	ne		-	-ne	None	
amanunte	.	si	dati	amanunte.	.si	sidati	None	
-	l	azi	in	-l	lazi	aziin	None	
vrei			curentul	vrei		curentul	None	
ca	ne	.	ca	cane	ne.	.ca	None	
ciudate	pozitii	aceeasi	carte	ciudatepozitii	pozitiiaceeasi	aceeasicarte	None	
competitiilor		-	ne	competitiilor	-	-ne	None	
care	...		evenimentul	care...	...	evenimentul	None	
rezultat	.	mai	departe	rezultat.	.mai	maideparte	None	
.	mai			.mai	mai		None	
pagina	si			paginasi	si		None	
stiu	sa		da	stiusa	sa	da	None	
pic	sa		.	picsa	sa	.	None	
grabesc	.	mult	.	grabesc.	.mult	mult.	None	
care	le	zilnic	.	carele	lezilnic	zilnic.	None	
.	eu	presa	de	.eu	eupresa	presade	None	
face	sa	cartea	cu	facesa	sacartea	carteacu	None	
placea	sa	.	intr	placeasa	sa.	.intr	None	
i	se	pe	fata	ise	sepe	pefata	None	
nu	mai	presa	romana	numai	maipresa	presaromana	None	
dupa	ce	sfinta	scriptura	dupace	cesfinta	sfintascriptura	None	
	chelnerul	unui	medic	chelnerul	chelnerulunui	unuimedic	None	
sau	care	reviste	de	saucare	carereviste	revistede	None	
gunoaie		ziare	atunci	gunoaie	ziare	ziareatunci	None	
pensii	minuscule	revista		pensiiminuscule	minusculerevista	revista	None	
	paunescu	in	emisiune	paunescu	paunescuin	inemisiune	None	
nu	mai	presa	si	numai	maipresa	presasi	None	
	sa	cu	atentie	sa	sacu	cuatentie	None	
	cind	acest	articol	cind	cindacest	acestarticol	None	
un	roman	ziare	pe	unroman	romanziare	ziarepe	None	
noi		pe	internet	noi	pe	peinternet	None	
hotarit	sa	stenograma	emisiunii	hotaritsa	sastenograma	stenogramaemisiunii	None	
	.	ziarele	din	.	.ziarele	ziareledin	None	
o	sa	cu	mare	osa	sacu	cumare	None	
ei	se	oboseala	.	eise	seoboseala	oboseala.	None	
ce	a	scrisoarea	presedintelui	cea	ascrisoarea	scrisoareapresedintelui	None	
straina		mult	pentru	straina	mult	multpentru	None	
solicitate	.	integral	si	solicitate.	.integral	integralsi	None	
b	.	materiale	cu	b.	.materiale	materialecu	None	
disperarii	.	la	intimplare	disperarii.	.la	laintimplare	None	
personala	!	atent		personala!	!atent	atent	None	
acasa	si		decit	acasasi	si	decit	None	
victor	.	de	la	victor.	.de	dela	None	
.	cind	o	alta	.cind	cindo	oalta	None	
.	nu	numai	carti	.nu	nunumai	numaicarti	None	
.	daca	articolul	din	.daca	dacaarticolul	articoluldin	None	
lola			scriem	lola		scriem	None	
punctajul	si	concluziile		punctajulsi	siconcluziile	concluziile	None	
bir	persoanele	in	liniste	birpersoanele	persoanelein	inliniste	None	
dat	sa	.	stii	datsa	sa.	.stii	None	
convorbire	?	si	tu	convorbire?	?si	situ	None	
	si	cu	grija	si	sicu	cugrija	None	
si	se	acatistul	izbavitor	sise	seacatistul	acatistulizbavitor	None	
si	se		acatistul	sise	se	acatistul	None	
presedintie	.	interviul	nostru	presedintie.	.interviul	interviulnostru	None	
.	el	mult		.el	elmult	mult	None	
care	o	apoi	continuu	careo	oapoi	apoicontinuu	None	
preocupari		zilnic	ziare	preocupari	zilnic	zilnicziare	None	
	le	si	celorlalti	le	lesi	sicelorlalti	None	
vrut	sa	intrebarea		vrutsa	saintrebarea	intrebarea	None	
romaniei	!	declaratiile	sale	romaniei!	!declaratiile	declaratiilesale	None	
nu	ne		se	nune	ne	se	None	
o	mai	de	mult	omai	maide	demult	None	
discografice	?	aici	ducu	discografice?	?aici	aiciducu	None	
carti	le	si	reciteste	cartile	lesi	sireciteste	None	
li	se	fragmente	dintr	lise	sefragmente	fragmentedintr	None	
le	mai	cite	o	lemai	maicite	citeo	None	
	ca	mult		ca	camult	mult	None	
sau	sa		.	sausa	sa	.	None	
trebui	sa	in	acest	trebuisa	sain	inacest	None	
trebui	sa	in	acest	trebuisa	sain	inacest	None	
citeva	buletine	explicatia		citevabuletine	buletineexplicatia	explicatia	None	
chelnerului	se	dezamagirea	.	chelneruluise	sedezamagirea	dezamagirea.	None	
		un	tinar		un	untinar	None	
	mai	si	ziare	mai	maisi	siziare	None	
care	o	pe	nerasuflate	careo	ope	penerasuflate	None	
!	dar	-	l	!dar	dar-	-l	None	
preturi	si	cit	costa	preturisi	sicit	citcosta	None	
milioane	.	si		milioane.	.si	si	None	
cind	preotii	moliftele	sfintului	cindpreotii	preotiimoliftele	moliftelesfintului	None	
prezenti	se	bucuria	si	prezentise	sebucuria	bucuriasi	None	
-	l	inainte	sa	-l	linainte	inaintesa	None	
intimplator		rindurile	dumneavoastra	intimplator	rindurile	rinduriledumneavoastra	None	
o	sa	cit	mai	osa	sacit	citmai	None	
.	le	pe	toate	.le	lepe	petoate	None	
internationale		reviste	si	internationale	reviste	revistesi	None	
lei	.	revista		lei.	.revista	revista	None	
axinte	il	pe	mario	axinteil	ilpe	pemario	None	
	insa	cite	putin	insa	insacite	citeputin	None	
.	angajatul	indexul	contorului	.angajatul	angajatulindexul	indexulcontorului	None	
decit	sa	o	carte	decitsa	sao	ocarte	None	
decit	sa	o	carte	decitsa	sao	ocarte	None	
ochiul	?	numai	carti	ochiul?	?numai	numaicarti	None	
asta	si		ca	astasi	si	ca	None	
patron	.	instructiunile	de	patron.	.instructiunile	instructiunilede	None	
	dan	de	la	dan	dande	dela	None	
cluj	.	carti	de	cluj.	.carti	cartide	None	
plins	si	printre	sughituri	plinssi	siprintre	printresughituri	None	
romtelecom	.	presa	zilnic	romtelecom.	.presa	presazilnic	None	
ca	nu	�romania	mare�	canu	nu�romania	�romaniamare�	None	
rabdare	sa	cartile	.	rabdaresa	sacartile	cartile.	None	
nevazatorii	le	scotindu	-	nevazatoriile	lescotindu	scotindu-	None	
	fiecare	ce	vrea	fiecare	fiecarece	cevrea	None	
putea	sa	scorul	unui	puteasa	sascorul	scorulunui	None	
inceput	sa	prin	tot	inceputsa	saprin	printot	None	
